Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat-e parrainé-e
M,FATET,Pascal,Maire,Romain-aux-Bois,Vosges,DUPONT-AIGNAN Nicolas
M,LITAIZE,Jean-Claude,Maire,Chef-Haut,Vosges,DUPONT-AIGNAN Nicolas
M,NOURRY,François,Maire,Le Tholy,Vosges,DUPONT-AIGNAN Nicolas
M,POTHIER,Hubert,Maire,Saint-Julien,Vosges,DUPONT-AIGNAN Nicolas
Mme,JEANDEL-JEANPIERRE,Ghislaine,Conseiller/ère départemental-e,,Vosges,FILLON François
M,LALLOZ,Jacques,Maire,Pont-lès-Bonfays,Vosges,FILLON François
Mme,PRIVAT MATTIONI,Caroline,Conseiller/ère départemental-e,,Vosges,FILLON François
M,DEMANGE,Stéphane,Maire,Ban-de-Laveline,Vosges,JUPPE Alain
M,FRESNAIS,Daniel,Maire,Clérey-la-Côte,Vosges,LE PEN Marine
M,HUMBERT,Didier,Maire,Martigny-les-Bains,Vosges,LE PEN Marine
M,CREMEL,Denis,Maire,Urville,Vosges,MACRON Emmanuel
M,DREVET,Frédéric,Maire,La Vôge-les-bains,Vosges,MACRON Emmanuel
Mme,MATHIEU,Véronique,Conseiller/ère régional-e,Grand Est,Vosges,BAROIN François
M,AUGUSTO,Jean-Noël,Maire,Pierrepont-sur-l'Arentèle,Vosges,CHEMINADE Jacques
Mme,BERGER,Thérèse,Maire,Pompierre,Vosges,CHEMINADE Jacques
M,CHAUDY,Jean-Luc,Maire,Langley,Vosges,CHEMINADE Jacques
M,COLIN,Etienne,Maire,Ferdrupt,Vosges,CHEMINADE Jacques
M,MENTREL,Jean-Louis,Maire,Champ-le-Duc,Vosges,CHEMINADE Jacques
M,LECLERC,Lionel,Maire,Mortagne,Vosges,DUPONT-AIGNAN Nicolas
M,BOMBARDE,Yvan,Maire,Renauvoid,Vosges,FILLON François
Mme,CANTERI,Raphaëla,Conseiller/ère départemental-e,,Vosges,FILLON François
Mme,CUSSENOT,Bernadette,Maire,Ahéville,Vosges,FILLON François
M,DAMBRINE,Michel,Maire,Prey,Vosges,FILLON François
M,GAMET,Alain,Maire,Moriville,Vosges,FILLON François
M,GAULTIER,Jean-Jacques,Maire,Vittel,Vosges,FILLON François
M,GRANDEMANGE,Eric,Maire,Damblain,Vosges,FILLON François
M,GREMILLET,Daniel,Sénateur/trice,,Vosges,FILLON François
M,HERBE,Patrice,Maire,Moyemont,Vosges,FILLON François
M,PIERRE,Jackie,Sénateur/trice,,Vosges,FILLON François
M,VANNSON,François,Député-e,3e,Vosges,FILLON François
M,VILMAR,Patrick,Maire,Fontenoy-le-Château,Vosges,JARDIN Alexandre
M,BERNARD,Daniel,Maire,Fignévelle,Vosges,LASSALLE Jean
M,CLOCHEY,Alain,Maire,Rancourt,Vosges,LASSALLE Jean
M,DOUSTEYSSIER,Jean-Claude,Maire,Ventron,Vosges,LASSALLE Jean
M,JEANMAIRE,Jean-Luc,Maire,Balléville,Vosges,MACRON Emmanuel
M,PETIT,Christian,Maire,Provenchères-et-Colroy,Vosges,POUTOU Philippe
M,CHANAUX,Jean-Paul,Maire,Gignéville,Vosges,ALLIOT-MARIE Michèle
Mme,CLERGET,Estelle,Maire,Brechainville,Vosges,ALLIOT-MARIE Michèle
M,RABOLT,Jean,Maire,La Petite-Raon,Vosges,CHEMINADE Jacques
M,TOUSSAINT,Michel,Maire,Bazien,Vosges,DUPONT-AIGNAN Nicolas
M,AUBRY,Jacques,Maire,Damas-aux-Bois,Vosges,FILLON François
M,BEDEL,Roland,Conseiller/ère départemental-e,,Vosges,FILLON François
M,CHERPION,Gérard,Député-e,2e,Vosges,FILLON François
M,DUBOIS,Claude,Maire,Saint-Ouen-lès-Parey,Vosges,FILLON François
Mme,JANKOWSKI,Valérie,Conseiller/ère départemental-e,,Vosges,FILLON François
M,LECLERC,Simon,Maire,Neufchâteau,Vosges,FILLON François
M,NICOLAS,Pascal,Maire,Ameuvelle,Vosges,FILLON François
M,RUHLMANN,Jean-Guy,Maire,Lubine,Vosges,FILLON François
Mme,VANSON,Brigitte,Conseiller/ère départemental-e,,Vosges,FILLON François
M,VOIRY,Régis,Maire,Dogneville,Vosges,FILLON François
M,COLIN,Gérard,Maire,Ubexy,Vosges,JARDIN Alexandre
Mme,GORNET,Andrée,Maire délégué-e,La Vôge-les-bains,Vosges,JARDIN Alexandre
M,MARTINET,Jean-Luc,Maire,Socourt,Vosges,JARDIN Alexandre
M,VAGNIER,Jean-Yves,Maire,Saint-Menge,Vosges,LASSALLE Jean
M,HINZELIN,Guy,Maire,Fiménil,Vosges,LE PEN Marine
M,HATIER,Florent,Maire,Belmont-sur-Vair,Vosges,MACRON Emmanuel
M,MAGNIEN-COEURDACIER,Raynald,Maire,Monthureux-sur-Saône,Vosges,MACRON Emmanuel
M,FRANSOT,Sylvain,Maire,Vioménil,Vosges,POUTOU Philippe
M,SPEISSMANN,Stessy,Maire,Gérardmer,Vosges,POUTOU Philippe
Mme,DUTHEIL,Gisèle,Maire,La Vacheresse-et-la-Rouillie,Vosges,YADE Rama
